sitename,x,y,detection_history.o1,detection_history.o2,detection_history.o3,year
1703,397760,4676387,0,0,0,2013
1705,409844,4679370,0,0,NA,2013
1706,413676,4678601,0,0,0,2013
1707,428026,4675433,0,0,0,2013
1708,432178,4674122,0,0,0,2013
1709,436669,4675228,0,0,NA,2013
1710,440621,4674591,0,0,NA,2013
1711,444224,4675547,0,0,0,2013
1712,448824,4674017,0,0,0,2013
1713,428944,4678802,0,0,NA,2013
1718,427576,4682039,NA,0,0,2013
1735,462612,4690235,0,NA,0,2013
1741,398442,4689906,0,0,0,2013
1742,402874,4690250,0,0,0,2013
1801,308436,4662898,0,0,0,2013
1802,303977,4667528,0,0,0,2013
1804,313031,4667977,NA,NA,NA,2013
1807,321713,4667824,0,0,0,2013
1808,320326,4671414,0,0,0,2013
1814,324248,4674698,0,0,0,2013
1818,340172,4674528,0,0,0,2013
1819,344534,4674716,0,0,0,2013
1820,358725,4674892,0,0,0,2013
1821,287914,4678120,0,0,0,2013
1822,297478,4677588,NA,NA,NA,2013
1828,339999,4679889,0,0,0,2013
1837,313369,4681579,0,0,0,2013
1838,320253,4682812,0,0,0,2013
1844,346908,4681915,0,0,0,2013
1846,358994,4677286,0,0,0,2013
1847,364466,4683470,0,0,0,2013
1848,366170,4681933,0,0,0,2013
1849,370605,4681962,0,0,0,2013
1850,371327,4679035,0,0,0,2013
1851,374555,4682595,0,0,0,2013
1856,376417,4686263,0,0,0,2013
1859,318097,4688191,0,0,0,2013
1860,317148,4690301,0,0,NA,2013
1861,321202,4690243,0,0,0,2013
1869,336146,4694402,0,0,0,2013
1870,347377,4685291,0,0,0,2013
1871,358695,4686173,0,0,0,2013
1878,391398,4686288,0,0,0,2013
1881,390572,4689226,0,0,0,2013
1882,394664,4689677,0,0,0,2013
1883,395683,4693498,0,0,0,2013
1901,227291,4658244,0,0,0,2013
1902,231817,4659769,0,0,0,2013
1906,246419,4660592,0,0,0,2013
1907,250803,4660201,0,0,0,2013
1908,253206,4659805,0,0,0,2013
1913,220423,4668902,0,0,0,2013
1916,244722,4668090,0,0,0,2013
1919,234125,4671782,0,0,0,2013
1920,238302,4672842,0,0,0,2013
1924,236006,4674660,0,0,0,2013
1927,224118,4681745,0,0,0,2013
1930,243784,4684466,0,0,0,2013
1931,263854,4681933,0,0,0,2013
1932,220021,4686143,0,0,0,2013
1933,222431,4685714,0,0,0,2013
1936,243328,4685384,0,0,0,2013
1937,259863,4686157,0,0,0,2013
1938,262794,4685253,0,0,0,2013
1939,266389,4687566,0,0,0,2013
1946,238913,4690113,0,0,0,2013
1949,256972,4691661,0,0,0,2013
1950,263832,4691321,0,0,0,2013
1962,259330,4694777,0,0,0,2013
1963,262886,4694710,0,0,0,2013
1964,265516,4694776,0,0,0,2013
1967,219566,4696864,0,0,0,2013
1973,257089,4697780,0,0,0,2013
1974,262939,4697586,0,0,0,2013
1986,267954,4711034,0,0,0,2013
1987,270433,4708576,0,0,0,2013
1,452678,4654105,0,0,0,2014
2,456117,4655209,0,0,0,2014
3,458283,4654783,0,0,0,2014
4,234868,4659186,0,0,0,2014
5,240906,4658779,0,0,0,2014
6,243391,4659556,0,0,0,2014
7,451781,4658948,0,0,0,2014
8,456025,4659255,0,0,0,2014
9,460328,4658569,0,0,0,2014
10,463533,4659508,0,0,0,2014
11,225064,4664630,0,0,0,2014
12,227416,4664663,0,0,0,2014
13,231289,4662867,0,0,0,2014
14,234556,4664434,0,0,0,2014
15,459204,4663088,0,0,0,2014
16,463436,4664539,0,0,0,2014
17,222354,4668171,0,0,0,2014
18,227200,4666404,0,0,0,2014
19,308730,4667375,0,0,0,2014
20,303633,4667212,0,0,0,2014
21,112509,4669616,0,0,0,2014
22,115599,4671082,0,0,0,2014
23,118828,4671274,0,0,0,2014
24,124428,4670598,0,0,0,2014
25,223608,4671708,0,0,0,2014
26,227678,4671789,0,0,0,2014
27,247011,4672344,0,NA,0,2014
28,249286,4671213,0,0,0,2014
29,308935,4671569,0,0,0,2014
30,305008,4671460,0,0,0,2014
31,351402,4675320,0,0,0,2014
32,469264,4669658,0,0,0,2014
33,473368,4671309,0,0,0,2014
34,474007,4670880,0,0,0,2014
35,111877,4673249,0,0,0,2014
36,115351,4673371,0,0,0,2014
37,119309,4675804,0,0,0,2014
38,123428,4675681,0,0,0,2014
39,140085,4675037,0,0,0,2014
40,143408,4674529,0,0,0,2014
41,146650,4674861,0,0,0,2014
42,226656,4676400,0,0,0,2014
43,246306,4675398,0,0,0,2014
44,297181,4674817,0,0,0,2014
45,301518,4674064,0,0,0,2014
46,303568,4674198,0,0,0,2014
47,311978,4674238,0,0,0,2014
48,317606,4673745,0,0,0,2014
49,324879,4675137,0,0,0,2014
50,328185,4674947,0,0,0,2014
51,332499,4674423,0,0,0,2014
52,335942,4674069,0,0,0,2014
53,285421,4701921,0,0,0,2014
54,467419,4673321,NA,0,0,2014
55,472751,4673928,0,0,0,2014
